"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Latvia","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Lithuania","Mil. USD","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","3"
"Lithuania","Thousand metric tons","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","3"
"Luxembourg","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Luxembourg","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Malta","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Malta","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Mexico","Mil. USD","98.5758070232147","","109.613218529533","","104.944648328084","","108.394863672772","","95.926973747692","","85.9177185905644","","106.493643189029","","70.5781835913059","","70.0249010896339","","74.871743374515","","122.106187205935","","121.430466492699","","124.887999920694","","229.170254408991","","166.26367385147","","130.97490570928","","182.245902416557","","203.577088802824","","205.942821445639","","166.131901944337","","133.806430959052","","97.9636886936369",""
"Mexico","Thousand metric tons","424.059","","463.3","","464.9","","457.6","","420","","415.4","","370.4","","370.8","","363.2","","368.5","","402","","410.7","","420","","372.5","","326.5","","341.5","","374.5","","359.5","","364.3","","321.1","","345.9","","258",""
"Montenegro","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Montenegro","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Netherlands","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368.558672697462","","","","",""
"Netherlands","Thousand metric tons","392.52","8","449.976","8","522.364","8","638.408","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.820602","","","","",""
"Norway","Mil. USD","","","","","","","","","","","","","","","23.4139752493561","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","Thousand metric tons","","","","","","","","","","","","","","","149.924","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","Thousand metric tons","92.745","2","108.972","2","118.154","2","115.675","2","120.429","2","141.295","2","145.5","2","150.312","2","164.354","2","187.541","2","206.69","2","219.31","2","242.23","2","248.276","2","245.336","2","182.277","2","172.031","2","179.097","2","182.869","2","167.465","2","183.952","2","",""
"Peru","Thousand metric tons","50.44","","55.66","","47.968","","65.989","","72.119","","76.563","","85.309","","83.868","","88.337","","105.214","","157.177","","144.606","","","","","","","","","","","","","","","","","","","","",""
"Poland","Mil. USD","","","","","","","","","","","44.4999223437239","","70.6661129973864","","60.3671538631221","","58.24006993951","","60.9135668019238","","83.1405920805239","","96.8045996149086","","117.993460864539","","141.144725234809","","110.027055395455","","73.5913507777004","","","","","","","","","","","","",""
"Poland","Thousand metric tons","314","","340","","349","","349","","362","","527","11","477","","519","","505","","536","","700","","1025","","570","","519","","453","","364","","","","","","","","","","","","",""
"Portugal","Mil. USD","23.2052463248924","","23.0973580112298","","18.7323898351654","","19.4411442502152","","16.1060544363345","","15.5129713216546","","14.5165958246459","","19.4836257374151","","23.4191251089828","","22.350114544337","","24.0686638810128","","24.0978095673182","","19.7845799045354","","27.2299628123595","","","","","","","","","","30.4052590040654","","25.5839466979307","","22.8073394339533","","21.903388913445","3"
"Portugal","Thousand metric tons","65.601","7","65.55","7","71.035","7","71.833","7","65.468","7","72.1","7","67.564","7","87.332","7","87.701","7","81","7","71.913846","7","69.757098","7","52.794678","7","61.1","7","","","","","","","","","60.9","7","60.9","7","63","7","56.4223","7"
"Republic of Korea","Thousand metric tons","627.05","","765.947","","959.217","","1069.308","","1163.413","","1203.308","","1308.668","","1339.726","","1364.832","","1508.061","","1454.6","","1476.773","","1577.689","","1590.26","","1571.694","","1798.739","","1861.469","","1973.806","","2520.357","","2558.867","","2519.222","","2642.21",""
"Romania","Mil. USD","","","","","","","","","","","","","","","41.3399553416791","","45.197192726873","","56.2081154263513","","98.9918784087718","","103.217059552982","","119.749000307598","","163.624525661427","","","","","","103.519694439652","","75.7176640324582","","63.0977338111333","","64.4540819754119","","58.6454189848843","","61.5182192388254",""
"Romania","Thousand metric tons","383","","326","","324","","310","","297","","343","","661","","416.736","","571.932","","630.271","","685.353","","698.473","","620.097","","637.545","","","","","","444.411","","256.127","","192.346","","181.007","","177.075","","186.767",""
"Russian Federation","Thousand metric tons","1156","","870.5","","945.9","","846.5","","1036.4","","1240.8","","1196.5","","1146.3","","1112.6","","1187.7","","1244.5","","1267.3","","1296.7","","1259.3","","1115","","1075","","1049","","1093","","1056","","1076","","1115","","1151",""
"Serbia and Montenegro","Thousand metric tons","7","","20","","65","","63","","13.72","11","7.415","","7.584","","6.787","","7.45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","17.8467703238515","","20.8954820944077","","28.6029718690629","","29.7842575173372","","23.8396402128947","","29.1928094128503","","28.2669672834211","","31.8870174778006","","22.611523138667","","","","",""
"Slovakia","Thousand metric tons","145.34","8","77.389","","65.974","","78","","77","","79","","","","","","","","","","","","73.920766","","83.330288","","79.243422","","75.400567","","78.263519","","72.954826","","68.195847","","67.855253","","65.513941","","","","",""
"Slovenia","Thousand metric tons","","","13","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","135.484214939016","","188.87615267489","","259.274288450692","","152.811022710219","","133.766870083465","","183.497659166487","","194.014184536209","","181.900457797247","","144.613977710186","","136.415213715804","","134.950508250604",""
"Spain","Thousand metric tons","652","","722","","660","","689","","788","","707","","704","","","","","","","","","","699","","618","","640","","479","","575","","530","","538","","501","","527","","512","","494",""
"Sweden","Mil. USD","","","84.4025839219788","","64.9648821807506","","69.6866901922839","","74.7964127575892","","49.5511789187748","","75.3209186667199","","49.9120719089861","","54.6603232935525","","26.2624814824558","","","","44.1862280109588","","55.9350295985808","","63.0284857647036","","61.9767712916307","","","","72.5238886172784","","74.6066153362577","","84.3210606491574","","65.6844661361637","","62.5481867939831","","",""
"Sweden","Thousand metric tons","288","","","","","","","","","","","","298","","309","","286","","","","","","","","","","130.5792","","135.6118","","123.3483","","153.8756","","152.1227","","162.2679","","131.3024","","134.9512","","130.568",""
"Tajikistan","Thousand metric tons","2.188","","0.254","","0.466","","0.6","","0.74","","3.666","","3.045","","2.76","","2.832","","3.035","","0.777","","0.181","","0.02","","0","","0.222","","0","","","","","","","","","","","","",""
"Thailand","Thousand metric tons","","","338","","455","","417","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"The former Yugoslav Republic of Macedonia","Thousand metric tons","4","","4","","4","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
