Year of Project Year,Technology Mid-Type,Country,Technology Broad Category,Technology Sub-Type,Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Mid-Type,Subsystem 1 - Technology Sub-Type,Discharge Duration at Rated Power (hrs),Rated Capacity (kWh),Rated Power (kW),Storage Capacity (kWh)
1964,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,315000,0
1964,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,137200,0
1965,Pumped hydro storage,United Kingdom,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,22,9680000,440000,9680000
1965,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,6,2400000,400000,2400000
1965,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,350000,0
1965,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,36500,0
1966,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,240000,0
1966,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,560000,0
1966,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1070000,0
1966,Pumped hydro storage,Australia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1700,0
1966,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,132000,0
1966,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,14000,0
1966,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,115000,0
1967,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,819000,0
1967,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,4,1296000,324000,1296000
1967,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,6,2160000,360000,2160000
1968,Pumped hydro storage,China,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,41000,0
1968,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,8,3392000,424000,3392000
1968,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,6.5,520000,80000,520000
1968,Pumped hydro storage,Poland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,200000,0
1968,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,220000,0
1968,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,303000,0
1968,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,42000,0
1969,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,340000,0
1969,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,120000,0
1969,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,4.92,688800,140000,688800
1969,Pumped hydro storage,Russia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,15900,0
1969,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,88500,0
1969,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,7000,0
1969,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,623000,0
1970,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,466000,0
1970,Pumped hydro storage,Switzerland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,240000,0
1970,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,440000,0
1970,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,260000,0
1970,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,810000,0
1971,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,50000,0
1971,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,260000,0
1971,Pumped hydro storage,Poland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,156000,0
1971,Pumped hydro storage,Spain,Electro-mechanical energy storage,Technology Sub-Type Unknown,Electro-mechanical energy storage,Pumped hydro storage,,0,,90000,0
1971,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,210000,0
1972,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,97000,0
1972,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,7.58,8482020,1119000,8482020
1972,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,231000,0
1972,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,28000,0
1972,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1125000,0
1972,Pumped hydro storage,Slovakia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,60000,0
1972,Pumped hydro storage,Ukraine,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,603000,0
1973,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,710000,0
1973,Pumped hydro storage,China,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,22000,0
1973,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,15,17400000,1160000,17400000
1973,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,675000,0
1973,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,80,25120000,314000,25120000
1973,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,8,14976000,1872000,14976000
1973,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,25200,0
1973,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,215000,0
1973,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,3500,0
1973,Pumped hydro storage,Australia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1500000,0
1973,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1000000,0
1973,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,568000,0
1973,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,10,12470000,1247000,12470000
1974,Pumped hydro storage,United Kingdom,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,300000,0
1974,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,200000,0
1974,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,5,3000000,600000,3000000
1974,Pumped hydro storage,Ireland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,6,1752000,292000,1752000
1974,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,7.17,3441600,480000,3441600
1974,Pumped hydro storage,Norway,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,40000,0
1975,Pumped hydro storage,Switzerland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,360000,0
1975,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,228000,0
1975,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,310000,0
1975,Pumped hydro storage,Slovakia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,198000,0
1975,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,500000,0
1975,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,330000,0
1976,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,288000,0
1976,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,7,6370000,910000,6370000
1976,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,800000,0
1976,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,5.8,951200,164000,951200
1976,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,295000,0
1976,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,620000,0
1976,Pumped hydro storage,India,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,12000,0
1977,Pumped hydro storage,Australia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,80000,0
1977,Pumped hydro storage,Australia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,160000,0
1977,Pumped hydro storage,Switzerland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,370000,0
1977,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,360000,0
1977,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,250000,0
1977,Pumped hydro storage,Australia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,300000,0
1978,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,6.97,3563064,511200,3563064
1978,Pumped hydro storage,Czech Republic,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,5.12,2304000,450000,2304000
1978,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,22,36344000,1652000,36344000
1978,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,133000,0
1978,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,240000,0
1979,Pumped hydro storage,Bosnia and Herzegovina,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,8,3360000,420000,3360000
1979,Pumped hydro storage,South Africa,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,15.5,2790000,180000,2790000
1979,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,208000,0
1979,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,4,4200000,1050000,4200000
1979,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,120000,0
1979,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,730000,0
1979,Pumped hydro storage,Belgium,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,5,5820000,1164000,5820000
1979,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,480000,0
1979,Pumped hydro storage,Poland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,4,2000000,500000,2000000
1979,Pumped hydro storage,Norway,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,270000,0
1980,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1280000,0
1980,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,12.6,3641400,289000,3641400
1980,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,12.18,14689080,1206000,14689080
1980,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,134000,0
1981,Pumped hydro storage,Belgium,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,143000,0
1981,Pumped hydro storage,South Africa,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,10,10000000,1000000,10000000
1981,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,460000,0
1981,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,780000,0
1981,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,317000,0
1981,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,12,2400000,200000,2400000
1981,Pumped hydro storage,Portugal,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,116.67,39201120,336000,39201120
1981,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1184000,0
1981,Pumped hydro storage,Slovakia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,735160,0
1981,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,108000,0
1981,Pumped hydro storage,India,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1670000,0
1982,Pumped hydro storage,Serbia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,614000,0
1982,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,910000,0
1982,Pumped hydro storage,Switzerland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,350000,0
1982,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,360000,0
1982,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1000000,0
1982,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1200000,0
1982,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,54000,0
1982,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,111000,0
1983,Pumped hydro storage,Ukraine,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,302000,0
1983,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,445000,0
1983,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,11.25,551250,49000,551250
1983,Pumped hydro storage,Poland,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,716000,0
1984,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1212000,0
1984,Pumped hydro storage,Argentina,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,224000,0
1984,Pumped hydro storage,United Kingdom,Electro-mechanical energy storage,Closed-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Closed-loop PHS,5,8640000,1728000,8640000
1984,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,58000,0
1984,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,615000,0
1984,Pumped hydro storage,Croatia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,276000,0
1984,Pumped hydro storage,Australia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,10,5000000,500000,5000000
1985,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,10.3,30930900,3003000,30930900
1985,Pumped hydro storage,South Korea,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,6,3600000,600000,3600000
1985,Pumped hydro storage,Taiwan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1008000,0
1985,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,468000,0
1985,Pumped hydro storage,Greece,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,315000,0
1985,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,219100,0
1985,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,600000,0
1985,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1000000,0
1985,Pumped hydro storage,Croatia,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1140,0
1986,Pumped hydro storage,Argentina,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,750000,0
1986,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1200000,0
1986,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,748000,0
1986,Pumped hydro storage,Spain,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1139000,0
1986,Pumped hydro storage,Norway,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,640000,0
1986,Pumped hydro storage,Norway,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,17000,0
1987,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,17.67,3530466,199800,3530466
1987,Pumped hydro storage,France,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1820000,0
1987,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,600000,0
1988,Pumped hydro storage,Ukraine,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,2268000,0
1988,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,7.17,7528500,1050000,7528500
1988,Pumped hydro storage,South Africa,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,10,4000000,400000,4000000
1988,Pumped hydro storage,Portugal,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,71.43,10000200,140000,10000200
1988,Pumped hydro storage,Austria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,360000,0
1988,Pumped hydro storage,India,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,400000,0
1988,Pumped hydro storage,Bulgaria,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,160000,0
1989,Pumped hydro storage,Germany,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,4,612000,153000,612000
1989,Pumped hydro storage,Chile,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,30800,0
1990,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,240000,0
1990,Pumped hydro storage,Romania,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,53000,0
1991,Pumped hydro storage,China,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,420000,0
1991,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,24,25560000,1065000,25560000
1991,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1000000,0
1991,Pumped hydro storage,Thailand,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,720000,0
1991,Pumped hydro storage,Italy,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,600000,0
1992,Pumped hydro storage,China,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,2000,0
1994,Pumped hydro storage,United States,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,45000,0
1994,Pumped hydro storage,Taiwan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,1600000,0
1994,Pumped hydro storage,Japan,Electro-mechanical energy storage,Open-loop PHS,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,0,,900000,0
