ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Mining_Annual production_TZ,,,,,,,,,,,,2650.0,4220.0,3720.0,4240.0,3660.0,3280.0,3280.0,2850.0,2320.0,5330.0,5400.0,Tanzania,TZ,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_TR,33500.0,41800.0,38600.0,39200.0,34900.0,37900.0,33800.0,36400.0,40000.0,73100.0,76300.0,56900.0,48300.0,58000.0,49000.0,54000.0,70000.0,81000.0,100000.0,105000.0,97000.0,95000.0,Turkey,TR,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_SU,950000.0,900000.0,,,,,,,,,,,,,,,,,,,,,U.S.S.R.,SU,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_GB,1000.0,300.0,,,,,,,,,,,,,,,,,,,,,United Kingdom,GB,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_US,1580000.0,1630000.0,1760000.0,1800000.0,1820000.0,1850000.0,1920000.0,1940000.0,1860000.0,1600000.0,1440000.0,1340000.0,1140000.0,1120000.0,1160000.0,1140000.0,1200000.0,1170000.0,1310000.0,1180000.0,1110000.0,1110000.0,United States,US,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_UZ,,,75000.0,65000.0,50000.0,40000.0,65000.0,73000.0,65000.0,65000.0,70000.0,78000.0,80000.0,80000.0,110000.0,110000.0,100000.0,95000.0,95000.0,95000.0,90000.0,95000.0,Uzbekistan,UZ,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_VN,,,,,,,,,,,,,,,,,,12500.0,11800.0,11300.0,11300.0,11000.0,Vietnam,VN,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_YU,140000.0,138000.0,,,,,,,,,,,,,,,,,,,,,Yugoslavia,YU,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_ZM,421000.0,391000.0,430000.0,396000.0,373000.0,316000.0,334000.0,353000.0,315000.0,280000.0,249000.0,312000.0,330000.0,378000.0,403000.0,432000.0,474000.0,509000.0,534000.0,698000.0,686000.0,668000.0,Zambia,ZM,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_ZW,14700.0,14400.0,10100.0,8200.0,9350.0,8100.0,9200.0,6800.0,6000.0,4510.0,2100.0,2060.0,2500.0,2770.0,2380.0,2570.0,2580.0,2680.0,2830.0,3570.0,5000.0,5000.0,Zimbabwe,ZW,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_World,8950000.0,9090000.0,9470000.0,9430000.0,9490000.0,10000000.0,11000000.0,11500000.0,12100000.0,12800000.0,13300000.0,13700000.0,13600000.0,13800000.0,14700000.0,15000000.0,15100000.0,15500000.0,15600000.0,16000000.0,16100000.0,16100000.0,World,World,Global,USGS,metric tons,Annual production,Copper|Mining
