ID,Country Name,Technology Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Code,Unit,Data Source,Spatial Scale,Metric
Potash Fertilizer_Annual Production_BW,Botswana,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,BW,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BR,Brazil,Nitrogen Fertilizer,12021,12926,13452,7243,14445,6490,7555,9292,6460,22177,67711,78492,114338,150171,160760,200272,231367,266868,284216,384305,349579,396759,533295,669237,696187,714174,746069,705089,748499,737221,704320,664628,709188,768253,795645,779003,808425,728048,847608,772211,657750,894759.25,841991.98,909389.14,916965.66,919394.59,824270.52,837947.44,724633.53,927493.1,888308.36,797713.89,848885.74,813012.06,831223.85,708327.87,510760.96,541930.88,356784.6,415795,BR,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BR,Brazil,Phosphate Fertilizer,113626,112494,106135,100943,82882,84089,130935,168415,147372,202663,277887,343957,400875,477776,594410,926063,1122359,1136104,1256609,1582478,1186600,1111408,1053861,1499246,1281700,1501490,1471590,1407200,1298800,1090698,1113346,1110137,1235448,1428583,1264670,1305138,1354136,1368989,1357784,1496136,1444863,1532564.66,1628284.44,1872373.67,1702746.42,1884335.45,2180542.16,2032477.74,1606292.66,1924612.55,2007276.53,1977859.53,2060970.96,2097133.41,2071942.97,1518396.05,1627806.81,2031722.93,1463102.84,3544674,BR,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BR,Brazil,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,6000,10520,37308,55720,109417,68073,101137,77260,173942,229365,224128,240695,281381,326486,347836,353168,357228,363786,377311,371474,371694,424213,389162,351890,415648,385244,359221,318149,285445,285566,279139,289468,281229,199521,238963,249709,BR,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BN,Brunei Darussalam,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BN,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BN,Brunei Darussalam,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BN,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BN,Brunei Darussalam,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BN,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BG,Bulgaria,Nitrogen Fertilizer,87727,94015,100947,205394,260472,297399,353886,504377,540662,601552,561993,523275,518604,592863,672462,663047,704979,685343,676710,730400,752864,758067,831304,836103,837776,817929,935626,956270,926046,911147,760387,681479,648900,698400,833000,835186,694900,362900,277500,403600,326776,270353,288200,331300,348700,237540,262130,281953,190288,264177,368944,258000,185988.78,210008.67,319561.8,318761.79,818442,677167,645921,639897,BG,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BG,Bulgaria,Phosphate Fertilizer,55764,69640,70571,90290,93672,96546,89238,135351,139882,147600,145800,129519,134832,188315,245881,241572,278573,282685,282300,216600,257585,238932,204051,211149,171705,132377,127962,178550,168753,46557,36860,37103,45039,45600,65000,80000,109800,83100,52000,94200,101599,120285,166300,156500,173100,161118,202233,174494,62912,113531,136320,134000,110000,,,,,,,,BG,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BG,Bulgaria,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,0,,,,,,,,BG,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BF,Burkina Faso,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BF,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BF,Burkina Faso,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,162,256,300,300,300,300,300,300,900,383,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BF,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BF,Burkina Faso,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BF,metric tons,FAOSTAT,National,Annual Production
