Country Name,Technology Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Unit,Metric,Country Code,Spatial Scale,ID
Burundi,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,25.0,24.0,25.0,30.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,17.3,61.7,160.4,385.0,805.0,1326.0,1400.0,1470.0,1550.0,1555.0,1450.0,,World Bank,metric tons,Annual production,BI,National,Aquaculture Production_Annual production_BI
Cabo Verde,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,,World Bank,metric tons,Annual production,CV,National,Aquaculture Production_Annual production_CV
Cambodia,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,25.0,53.0,106.0,240.0,464.0,934.0,1610.0,3000.0,2200.0,2500.0,4600.0,5538.0,6400.0,6700.0,8550.0,7900.0,8200.0,9511.0,9600.0,11800.0,14100.0,15000.0,14430.0,17500.0,18250.0,26300.0,37515.0,44000.0,41010.0,35260.0,40000.0,50000.0,60000.0,72000.0,74000.0,90000.0,120055.0,145000.0,172500.0,207500.0,254050.0,307408.0,400400.0,,World Bank,metric tons,Annual production,KH,National,Aquaculture Production_Annual production_KH
Cameroon,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,22.0,40.0,57.0,89.0,120.0,282.0,130.0,124.0,137.0,167.0,138.0,106.0,74.0,57.0,50.0,50.0,57.0,58.0,67.0,67.0,67.0,50.0,150.0,330.0,385.0,395.0,402.0,435.0,546.0,546.0,546.0,570.0,571.0,840.0,1195.0,1575.0,1955.0,2315.0,2514.0,2757.0,3107.0,3556.0,,World Bank,metric tons,Annual production,CM,National,Aquaculture Production_Annual production_CM
Canada,Aquaculture Production,2975.0,2990.0,3100.0,3215.0,3230.0,3242.0,3258.0,3275.0,3394.0,3405.0,3591.0,3893.0,4561.0,5333.0,4583.0,4129.0,3943.0,3897.0,4038.0,3458.0,3566.0,4074.0,3421.0,4289.0,7720.0,8798.0,12678.0,16890.0,23622.0,32451.0,41216.0,48068.0,45386.0,52442.0,55430.0,65207.0,72376.0,81676.0,91046.0,112916.0,127665.0,153046.0,172046.0,167798.0,145018.0,154587.0,171629.0,152486.0,155549.0,155928.0,162341.0,169706.0,184910.0,168015.0,139732.0,187374.0,200765.0,191616.0,191373.0,187226.0,171007.0,,World Bank,metric tons,Annual production,CA,National,Aquaculture Production_Annual production_CA
Central African Republic,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,30.0,47.0,64.0,80.0,94.0,111.0,128.0,309.0,288.0,193.0,88.0,79.0,82.0,105.0,105.0,338.0,301.0,255.0,210.0,150.0,80.0,80.0,117.0,120.0,125.0,125.0,125.0,125.0,125.0,140.0,140.0,140.0,140.0,170.0,170.0,182.0,195.0,195.0,195.0,205.0,205.0,219.0,219.0,219.0,,World Bank,metric tons,Annual production,CF,National,Aquaculture Production_Annual production_CF
Chad,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,60.0,60.0,154.0,94.0,105.0,105.0,105.0,105.0,,World Bank,metric tons,Annual production,TD,National,Aquaculture Production_Annual production_TD
Chile,Aquaculture Production,80.0,80.0,90.0,100.0,110.0,120.0,230.0,144.0,183.0,201.0,183.0,212.0,258.0,370.0,443.0,543.0,736.0,818.0,1093.0,1514.0,2088.0,2789.0,5316.0,1972.0,8611.0,7497.0,9941.0,13936.0,32349.0,51510.0,70464.0,105258.0,116281.0,135090.0,183747.0,206266.0,323115.0,375113.0,361430.0,305494.0,425058.0,631634.0,617303.0,607338.0,696157.0,739368.0,832329.0,806166.0,870845.0,881084.0,713241.0,969539.0,1075547.0,1045718.0,1227359.0,1057742.0,1050117.0,1219747.1,1287232.58,1407289.0,1505486.0,,World Bank,metric tons,Annual production,CL,National,Aquaculture Production_Annual production_CL
China,Aquaculture Production,958506.0,777762.0,741121.0,856931.0,1017083.0,1159540.0,1320775.0,1315911.0,1306208.0,1513849.0,1480670.0,1790968.0,1987611.0,1823366.0,1975622.0,2157727.0,2106125.0,2788044.0,2987334.0,2901626.0,3105342.0,3033775.0,3258008.0,3657489.0,4271240.0,5026016.0,5606227.0,6325967.0,7376299.0,8101298.0,8392965.0,9695110.0,12185159.0,15221669.0,18213586.0,21152498.0,23465787.0,23747399.0,25671893.0,28000956.0,29749708.0,31102502.0,33160273.0,34891716.0,37172411.0,38943267.0,40911091.49,42530160.3,44072886.73,46062875.71,47789756.78,49147606.1,52082585.66,55029057.76,57320503.73,59368941.59,62318377.86,64358480.81,66135059.34,68423858.99,70483538.48,,World Bank,metric tons,Annual production,CN,National,Aquaculture Production_Annual production_CN
Colombia,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,18.0,31.0,48.0,66.0,91.0,123.0,165.0,224.0,300.0,400.0,535.0,775.0,921.0,1171.0,1618.0,3314.0,5673.0,10455.0,12267.0,23987.0,23971.0,25652.0,36630.0,29990.0,43710.0,45933.0,52947.0,61786.0,57660.0,57160.0,60895.0,60072.0,61000.0,70132.0,66565.0,68200.0,80623.0,80367.0,83681.0,89654.0,89398.0,92002.0,95857.0,106685.0,118485.0,132756.22,171025.45,179350.99,,World Bank,metric tons,Annual production,CO,National,Aquaculture Production_Annual production_CO
